11,5,22,12,16,6,1,19,18,20,0,9,13,4,24,17,10,1,3,23,15,18,14,7,12,2,23,24,19,15,21,3,2,14,4,11,8,21,6,16,5,0,17,13,9,22,20,10,7,8
13,10,3,7,4,18,22,0,15,5,12,16,19,1,9,13,2,14,10,21,5,3,23,4,16,9,18,2,6,8,14,11,0,17,20,24,8,22,7,6,11,12,17,23,24,20,21,15,1,19
3,4,5,7,17,22,16,24,1,3,14,9,13,2,19,18,8,17,15,0,12,10,4,13,22,11,9,14,18,20,23,19,2,6,0,21,11,12,24,1,20,16,7,23,10,15,21,8,6,5
17,2,8,5,3,15,16,20,6,13,18,22,11,4,1,12,5,7,22,18,23,9,15,19,13,14,4,16,0,23,9,3,2,24,19,11,21,10,14,6,24,0,7,1,10,17,12,21,20,8
23,1,11,13,24,15,7,23,5,9,19,3,21,10,17,7,12,8,13,24,4,11,0,17,20,16,22,14,3,18,6,19,10,21,1,12,9,6,2,4,8,22,16,20,15,2,18,5,14,0
6,16,1,10,17,7,13,19,21,2,22,5,11,4,9,13,16,23,0,18,5,6,2,21,23,14,3,17,24,20,7,8,15,1,4,24,18,11,10,22,19,12,14,15,20,3,8,9,12,0
14,23,22,4,23,8,0,6,11,20,2,13,16,22,15,3,5,2,24,9,7,17,19,16,1,12,9,18,3,24,10,19,21,11,12,5,13,0,8,21,17,15,6,7,18,10,4,1,20,14
2,17,24,0,12,23,14,2,16,8,10,7,17,19,4,1,13,21,11,16,8,14,22,15,20,9,19,4,0,18,3,24,5,12,6,22,21,11,7,5,9,6,1,13,15,20,23,3,18,10
14,20,12,7,23,5,17,19,0,3,8,9,24,2,6,4,22,14,21,10,15,6,18,23,19,0,4,22,2,12,20,11,1,13,16,18,3,17,9,24,7,1,5,16,10,15,13,21,11,8
10,13,4,16,18,17,9,7,8,11,24,6,19,20,15,21,16,10,2,9,1,22,0,23,6,5,7,4,14,8,13,0,22,15,11,24,23,2,3,1,12,14,21,19,20,18,17,12,5,3
9,2,12,19,13,18,14,1,21,7,3,23,18,11,17,0,16,4,2,24,20,5,15,22,19,17,6,14,8,12,22,13,24,6,7,15,5,3,10,9,4,20,23,8,0,10,11,21,1,16
2,3,18,24,10,8,5,2,14,22,7,4,23,19,15,1,6,12,20,10,11,5,22,6,3,15,9,20,4,21,19,17,13,9,16,7,24,14,17,23,21,0,1,16,12,11,8,13,0,18
7,7,1,6,13,0,3,17,2,22,5,13,21,14,9,20,24,3,23,11,22,21,0,8,18,9,15,10,12,4,14,2,19,24,10,5,20,12,17,18,16,1,6,23,8,19,4,16,11,15
0,14,6,15,10,19,21,20,1,18,4,24,16,5,9,1,19,13,22,2,14,21,5,12,7,3,2,11,17,22,13,6,15,8,11,0,18,16,24,4,20,9,23,10,12,7,3,17,8,23
1,10,4,5,21,12,6,8,15,3,17,20,24,4,0,6,9,11,23,21,19,0,2,15,8,13,20,18,3,17,16,19,13,2,22,7,5,23,11,24,14,9,10,16,7,1,18,14,12,22
1,21,5,23,2,12,20,1,7,24,19,16,4,2,18,14,11,15,8,0,17,10,21,19,12,9,22,13,24,20,3,18,10,5,6,22,13,3,15,8,0,4,14,6,9,11,16,7,23,17
17,10,5,13,3,2,20,4,14,21,24,19,10,22,13,20,4,8,18,3,21,1,7,12,22,23,15,24,8,7,2,6,16,9,19,15,23,5,0,18,9,11,6,16,1,14,12,17,11,0
13,12,9,4,11,8,1,13,14,23,2,0,3,17,4,14,19,22,5,7,18,10,16,24,20,15,23,3,7,6,21,20,24,2,12,19,8,18,17,5,6,9,0,16,10,21,22,1,15,11
7,2,5,8,3,15,13,12,17,6,19,21,10,1,9,20,18,22,0,23,6,14,16,18,15,7,2,4,23,5,20,0,24,16,8,9,11,3,4,13,21,17,12,19,22,11,1,24,14,10
11,13,3,10,1,7,16,14,21,5,17,20,10,15,0,4,19,2,13,11,5,21,7,17,14,23,24,18,22,3,8,0,12,24,6,19,4,8,23,16,9,22,2,6,20,1,18,12,15,9
14,23,15,10,11,17,8,2,7,24,23,19,21,8,6,16,12,1,2,22,18,9,3,5,4,0,13,21,17,18,20,15,22,7,19,12,16,14,5,4,9,20,10,11,24,3,0,13,1,6
6,20,19,4,12,21,10,22,3,8,16,0,23,7,15,19,21,13,20,12,1,15,17,10,9,14,22,18,13,5,2,6,24,11,0,23,5,9,4,24,18,1,14,3,7,17,11,16,8,2
